City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
533,chantada,42.6088,-7.7712,57.69,88,85,3.74,ES,1690006790
534,along,28.1667,94.7667,97.25,45,57,3.04,IN,1690006790
535,kudahuvadhoo,2.6708,72.8944,82.56,69,91,3.76,MV,1690006759
536,benjamin hill,30.1667,-111.1,81.9,49,100,4.97,MX,1690006791
537,pilot butte,50.4668,-104.4178,62.65,82,0,2.3,CA,1690006791
538,lokosovo,61.1333,74.8167,76.96,51,81,9.26,RU,1690006791
539,inhambane,-23.865,35.3833,64.38,88,75,0.0,MZ,1690006791
540,kulhudhuffushi,6.6221,73.07,82.22,80,87,18.01,MV,1690006792
541,mbini,1.574,9.6134,74.64,84,100,10.27,GQ,1690006792
542,horsham,51.064,-0.3272,60.31,85,40,6.91,GB,1690006792
543,mashhad,36.297,59.6062,89.74,31,0,16.11,IR,1690006792
544,labe,11.3182,-12.2833,64.65,98,76,3.69,GN,1690006792
545,indramayu,-6.3264,108.32,85.42,54,9,13.89,ID,1690006635
546,hualmay,-11.0964,-77.6139,65.59,87,33,10.8,PE,1690006793
547,creston,41.0586,-94.3614,64.71,100,40,0.0,US,1690006793
548,madhupur,24.25,86.65,86.27,71,98,11.92,IN,1690006793
549,shipitsyno,61.2806,46.5208,65.55,63,41,9.6,RU,1690006793
550,takoradi,4.8845,-1.7554,74.62,92,85,8.25,GH,1690006794
551,baindur,13.8667,74.6333,80.4,86,100,16.75,IN,1690006794
552,ferkessedougou,9.6,-5.2,71.74,94,88,8.08,CI,1690006794
553,sarahan,31.5167,77.8,67.75,90,100,2.68,IN,1690006794
554,pahasu,28.1833,78.05,97.03,47,34,14.63,IN,1690006795
555,humaita,-7.5061,-63.0208,71.92,62,2,1.48,BR,1690006795
556,tacuati,-23.45,-56.5833,76.66,42,0,8.68,PY,1690006795
557,pinos,22.3,-101.5667,59.04,70,12,10.42,MX,1690006795
